fdd85af98764164dcd66f22fa60a8fce4271fad7	2024-01-22	Pass the correct user ID to SetProcessProfilesCached()
37d64fa5ed0655fa3329f1d71583f2d42745fe41	2024-01-22	LockPatternUtilsTest: use dependency injection for ILockSettings
8750ab191547cb398d25fd96193fbe7a250c4c27	2024-01-22	LockPatternUtilsTest: don't call the real TrustManagerService
843503ba07542b3b46e936855c006b15324cf71e	2024-01-22	Merge together the two LockPatternUtilsTest
c31dd7f5ba1ca7e351f47ce4bb53fc2a9f333fc7	2024-01-22	Don't throw exception when changing unrequested permission state.
f30fff25d182249ee2ee347d5cd0f89c75576817	2023-11-10	[res] Optimize idmap data initialization in OMS
820f9d71d4292706a4550bd29131c556aea473f6	2024-01-19	Synchronize access to BatteryStatsHistory
1fdb9f60cdb9c423942460aca438cd3460be1022	2024-01-22	[pm] fix a system crash caused by cleanUpUser
83f77092cef382bf3bdcbeb940def821ba63d3bc	2024-01-18	Provide error handling for nullptr in the ADPF NDK
3a13332728d6da17dc7434adc0decae704f19396	2024-01-22	Avoid NPE crash system server
32d06ea0733f9699b6dc32f380bd13a566a94592	2024-01-22	On TVs, disable "skip next routing control" flag after a short delay
5bc6a51ad47a87d4f4ac78f1cabda211f02ea8bc	2024-01-23	Set upper limit of process queue in MainContentCaptureSessionV2
24c38549bb98a7e5a7ba4ae2f6d09c778d8eb9d4	2024-01-23	Delay handler messages until class is fully initialized
325b0aff231401f09a46f0f411eacc1cb0805f48	2024-01-23	Fix memory leak where SC for drag is never released
dd4e1a8502b74f5aa0164f5066c317b351f86202	2024-01-22	Pass the correct user ID to SetProcessProfilesCached()
1e7bed2a343559e21730564383eaa27337844894	2024-01-23	Don't allowlist on BOOT_COMPLETED for unstop
3406b5f1f7191cd94c0f41a99c1fe6dc3fc746af	2024-01-22	Pass the correct user ID to SetProcessProfilesCached()
98f87e7d9fdcb2042009da2324a93807fb64ce42	2024-01-18	Add mSideHint to InsetsSource
c9d4fdeb53e6ce13bb46c2197c1a57c40498d54b	2024-01-24	Fix launch animation for PrivacyDialog and reenable dismiss anim
027afce10b6a3afd0805b96484cf7481430ef5d8	2024-01-24	Fix BadParcelableException when transferInitiatorUserHandle is null
c04d218ef175eae2229246e75bd8b18e6343b181	2024-01-23	Fix wallpaper dim logic
c78e8c3cada1a84ef2fae1b6826a3a5c92a11d05	2024-01-24	Fix NPEs in DevicePermissionPolicy.
85f3b428ab35b18384f2e1bc31a07c6c2d5b30d7	2024-01-05	Allow the phone app to update safety center
d74605a625daaedd3dca2c6f5f127135d4cc16a6	2024-01-24	Create RemoteViews Factory Container
e513df86ee50f3a2cae79f47579a3e5b05d0b2ec	2024-01-12	Add CUJ_BACK_PANEL_ARROW for tracking jank
0b97dd90d69731d2cfff5b054a1291751aa2e26f	2024-01-18	[ECM] Start EnhancedConfirmationService in SS
71ced8ff7826df722aaaca77916c6996bc894592	2024-01-22	[pm] fix NPE in PreferredComponent
fa28ce36c675eb8853a8b788cb2623bc266bee24	2024-01-15	[2/n] Add configurable font_scale
12dc2b8a9fff3defe3348d9af16fef2f5fa5d7b9	2024-01-24	[aapt2] Always generate code for permissions
dab71a3a5750782320bb1bb8b2ef19624acacbcc	2024-01-23	Replace swipe Edge (detector) by SwipeSource (detector) (1/2)
78703ead41cb25df56da891c58b3d549373759e7	2024-01-24	Enforce that onDragStarted.overSlop is != 0f
19c1ef31feb82ad780bbbc78d81dd24a3df57489	2024-01-25	Fix provide wrong resources when check isOnBackInvokedCallbackEnabled
9069f016f06415a2bb25920f9360ea39a8d0b66b	2024-01-25	Revert "Improve ImageFloatingTextView Tracing"
2c68aa6bc7d30124fd27a1d00508722823e1768e	2023-03-31	Keystore: Validate curve names in XDH and ED25519
57e26739191fa4d74a2bf23c5361a2724fbb638f	2024-01-25	HDMI: TV should ignore <Standby> from non-AS devices
00b42270996d35bd46b8c61cc1765aaf8394d76a	2024-01-24	HDMI: Ignore <Routing Information> with PA equal to sender's PA
653ac0cdc7fb5e96a73eed3066f84abf432ba22c	2024-01-25	Revert "Keystore: Validate curve names in XDH and ED25519"
418a1071588b5838943c9a5ae064e8f09d8e2be4	2024-01-25	CSD: Quick fix for dose record sanitization
0680d68fc6c3ffff78c1ee09fa45393992a9b32d	2024-01-25	Work around NPE in onPackageUninstalled().
62a6812853ad8179f4d2daf6f3c445cdcceaf377	2024-01-25	[ECM] Declare MANAGE_ENHANCED_CONFIRMATION_STATES permission
e69181292e7c7684a513b95b701b181273f4179f	2024-01-20	[DeviceAware] Use correct device id in Context and Context#mAttributionSource fields
fe012c183dd4d031e87c15d3d6f7b3b9653a9670	2024-01-25	Suppress compose compiler error for default value
a43405594a4a3e5e30515da91dd5e4f6cd564b5e	2023-12-08	fix(force invert): cache force dark setting
50cfcf9c4ecce255f9205339933440b2c892e34b	2024-01-25	Update keyguard flow to always be on main thread.
ac9016aaf7f06e98d139fb1bfcd6d022cc41f2b4	2024-01-26	Fix regression in SceneGestureHandler
abbaa445ea424d2cb0eae3b267fee154ab03f4fe	2024-01-26	Revert^2 "Keystore: Validate curve names in XDH and ED25519"
e5c48c9025cfec2e727caf522df29c91cfdf74fc	2024-01-24	Don't always intercept swipe transitions
a718863cd3bade514ebdf8f478ac11ffff207b89	2023-12-07	Add a new MMS result code for large MMS denial over satellite
fdda7b485b0d12f9a9be618b9870e0b9e012756a	2024-01-25	Cleanup hub disabled flow by consolidating logic
b6e47ce9c3346207818d8e4fcc14b3d9c3f97669	2024-01-24	Return full bubble bar bounds on display when expanded
0a2bba4a18638a9d2778fe1521e8063ad87b91b2	2024-01-08	Add a new exemption for backup-related jobs.
22175211bc4efad34644e4bb2df8efa387261ea9	2024-01-27	Do not mutate mDragStartTaskBounds during drag-resize
dc890d9d7db70ee2c69241c8c312b259489fb34e	2024-01-27	Fix NPE when referencing DragResizeInputListener
06775341ad7d77410798f95117cbee7a1a02c201	2024-01-04	Stop marking apps as privileged if they are not signed properly.
bae00621c4c00f7ba6ad99133c3dfb3430751e14	2024-01-15	[flexiglass] Force garbage collection after successful authentication.
d170ec5f09891b60c338aba49ac527b944283257	2024-01-29	Fix NPE in FoldableDeviceStateProvider
0127da5b11c7f67a745f96839ce28a9371fc528c	2024-01-04	Stop marking apps as privileged if they are not signed properly.
e336c7d7c9ceb49d934bbef0d27ecef344ad80ed	2024-01-04	Stop marking apps as privileged if they are not signed properly.
